,song_name,artist,album,artist_id,song_id,popularity,explicit,duration,key,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,release_year
41,"APALA DISCO (feat. Wizkid, Seyi Vibez & Terry Apala) - Remix",DJ Tunez,"APALA DISCO (feat. Wizkid, Seyi Vibez & Terry Apala) [Remix]",64oW4P0vsDhlorOxZKQi6a,55nKxeuQ63YLqhtxPWMCgN,63,False,4.0,4,0.77,0.656,-8.798,0,0.133,0.299,0.0,0.0597,0.874,97.951,2024-06-21,2024
42,HEIS,Rema,HEIS,46pWGuE3dSwY3bMMXGBvVS,4lU9my0De9qwdzOyuWQFJH,68,True,3.0,9,0.759,0.905,-4.779,0,0.0458,0.166,0.0,0.149,0.375,125.976,2024-07-10,2024
43,Uptown Disco,Olamide,"Ikigai / 生き甲斐, Vol. 1",4ovtyvs7j1jSmwhkBGHqSr,7vdGiPrjK0gJBoZE8UhDMJ,67,True,4.0,2,0.573,0.832,-7.975,1,0.299,0.19,0.0,0.0937,0.517,153.215,2024-06-26,2024
44,Maria,Tml Vibez,Xin Mao,4x4ggvlhCaj5oNqKRRwOAL,4Tgt15dD8P2m68HYxA8DCG,63,False,2.0,2,0.507,0.505,-9.433,1,0.1,0.5,9.62e-06,0.111,0.252,116.168,2024-07-06,2024
45,Stubborn (with Asake),Victony,Stubborn,1E5hfn5BduN2nnoZCJmUVG,6l7opVclJEHReImCPkMc5o,66,False,3.0,9,0.786,0.757,-8.05,0,0.149,0.416,5.39e-06,0.0951,0.879,109.986,2024-06-21,2024
46,My Dealer,KAESTYLE,My Dealer,0o4t6y0LBJWs76vvuuzg50,7IFoyt4ZL7raIETupyDCYM,70,True,2.0,6,0.769,0.661,-5.505,1,0.157,0.585,2.24e-05,0.121,0.843,127.484,2024-05-17,2024
47,Risk,Victony,Stubborn,1E5hfn5BduN2nnoZCJmUVG,6qS9yoAUIXNfno5t4YLQdn,69,True,3.0,5,0.743,0.685,-7.981,1,0.106,0.113,0.0,0.526,0.555,154.07,2024-06-21,2024
48,Ogechi (feat. Davido) [Remix],BoyPee,Ogechi (feat. Davido) [Remix],1zjv7k3fmK1MJIA2CdaCAh,6O2hrfRRPBJ59PwKhSKFHz,69,False,3.0,11,0.454,0.637,-8.869,1,0.242,0.804,0.0,0.589,0.719,98.659,2024-06-26,2024
49,Jehovah,Jeriq,Jehovah,7MJaBrtUNMCVWliXOa7mwk,7EfjkOYi6He33zzUoHuUjs,56,True,3.0,9,0.66,0.609,-9.78,1,0.101,0.246,0.0,0.233,0.54,99.942,2024-08-02,2024
50,Real Life (feat. Stormzy),Burna Boy,Twice As Tall,3wcj11K77LjEY1PkEazffa,2eFsasDs4w4YUHBvaKyNNZ,56,True,3.0,0,0.543,0.576,-7.252,1,0.127,0.146,4.3e-05,0.332,0.416,66.933,2020-08-13,2020
51,Tshwala Bam (feat. S.N.E) - Remix,TitoM,Tshwala Bam (feat. S.N.E) [Remix],5eYSqn4LCXLgIFYR4qOZ1k,6cyXHTix4NQ069gKJEYv41,73,False,3.0,4,0.813,0.552,-12.066,0,0.0426,0.0639,0.00667,0.0951,0.517,112.022,2024-05-13,2024
52,Hello Habibi,Olamide,"Ikigai / 生き甲斐, Vol. 1",4ovtyvs7j1jSmwhkBGHqSr,4nj32rIPm4mqx15x8B1meM,68,False,2.0,4,0.621,0.699,-5.164,0,0.369,0.437,0.0,0.287,0.49,66.953,2024-06-26,2024
53,Instagram,Muyeez,"Vibez Incorporation Mixtape, Vol.1",58JKLeDfIeeOYujvF1UMQS,33LZQv9ubXe8GzqlvSvSPQ,49,False,2.0,2,0.554,0.685,-7.529,1,0.218,0.356,0.0,0.0798,0.432,198.186,2024-05-10,2024
54,City Boys,Burna Boy,I Told Them...,3wcj11K77LjEY1PkEazffa,1OX1aWd5WTavFuOXZ7k6Q5,63,True,3.0,2,0.825,0.616,-7.585,0,0.138,0.0652,0.0,0.131,0.596,100.008,2023-08-24,2023
55,Bad Vibes (feat. Seyi Vibez),Ayra Starr,The Year I Turned 21,3ZpEKRjHaHANcpk10u6Ntq,0jNDmrINcxun6KBq23X0JY,37,False,3.0,1,0.697,0.666,-5.526,0,0.136,0.296,0.0,0.282,0.778,96.035,2024-05-30,2024
56,Basquiat,Asake,Work Of Art,3a1tBryiczPAZpgoZN9Rzg,2H0w7oYDjUvgsFlNQ5swIg,67,False,2.0,5,0.825,0.767,-7.893,1,0.0418,0.547,4.6e-06,0.0914,0.857,115.957,2023-06-15,2023
57,Different Pattern,Seyi Vibez,NAHAMciaga,4zmZ8lVLzGc84S4v2B1rLx,7FB5261Iv3MRbSz13HYP5l,67,False,2.0,9,0.691,0.799,-6.873,0,0.0657,0.576,0.0,0.295,0.972,107.987,2023-12-08,2023
58,POE,Ruger,RnB,0a1SidMjD8D6EHvJph4n2H,52Krs3LCqtcfeiWUvhxncK,68,False,3.0,5,0.78,0.652,-6.548,1,0.143,0.64,0.0,0.156,0.577,113.988,2024-04-17,2024
59,Favourite Girl (with Rema),Darkoo,Favourite Girl (with Rema),4QSTyDpxsKmv3UfavVUImR,3eRaxLLhyYHKr8oiR6NeYI,45,False,3.0,8,0.455,0.812,-3.455,1,0.211,0.372,0.0,0.199,0.823,100.049,2024-08-08,2024
60,Abu Dhabi,Seyi Vibez,Loseyi Professor,4zmZ8lVLzGc84S4v2B1rLx,4oo4weTPM0KbBaTmD6f3WH,61,False,2.0,9,0.758,0.767,-8.568,0,0.301,0.706,9.05e-05,0.0836,0.743,104.998,2024-07-12,2024
61,DOG EAT DOG II,ODUMODUBLVCK,DOG EAT DOG II,3LOm0AZjpwVQebvkyanjDy,0oC1bScDhPvquEBKACcFjo,44,True,4.0,11,0.801,0.562,-8.332,0,0.153,0.125,0.00894,0.167,0.255,95.005,2023-05-30,2023
62,Everyday,Fireboy DML,Everyday,75VKfyoBlkmrJFDqo1o2VY,2yskKhqtDAHJ73obmJh8tf,70,False,3.0,9,0.887,0.657,-5.784,1,0.0908,0.153,0.000363,0.106,0.932,100.104,2024-05-02,2024
63,Caro,Tml Vibez,Xin Mao,4x4ggvlhCaj5oNqKRRwOAL,657Zw93nd2TAfM7umYI1P0,58,False,2.0,0,0.667,0.689,-6.987,1,0.0942,0.143,0.000152,0.101,0.399,102.932,2024-07-06,2024
64,Way Too Big,Burna Boy,Twice As Tall,3wcj11K77LjEY1PkEazffa,3bOBWIdkRyN9yaGJ7uSOTf,53,True,3.0,1,0.776,0.694,-7.821,1,0.0448,0.234,0.000759,0.165,0.334,114.044,2020-08-13,2020
